name,country,region,climate_zone,period_start,year,period_of_year,ndvi_zscore,stress,gap_days,NDVI_lag1,EVI_lag1,SAVI_lag1,NDMI_lag1,ndvi_trend,evi_trend,tmax_mean,tmin_mean,precip_sum,humidity_mean,et0_sum,heat_days,dry_days,frost_days,lat,lon,month_sin,month_cos
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-01-17,2019,1,-1.0103243989170971,1,16.0,0.2308135491421842,0.1785477416070308,0.1156465108042533,0.2006279066259177,,,7.5125,4.33125,22.1,82.75,9.73,0.0,9.0,0.0,51.87,4.67,0.49999999999999994,0.8660254037844387
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-02-02,2019,2,0.0381209951811187,0,16.0,0.2951523905711531,0.1873977055538638,0.1475336493667491,0.0910617365173823,0.06433884142896892,0.008849963946833017,4.0875,-0.98125,31.5,85.9375,7.12,0.0,8.0,12.0,51.87,4.67,0.8660254037844386,0.5000000000000001
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-02-18,2019,3,-2.1769720172196414,1,16.0,0.3140316940257754,0.1416550285229134,0.1404948713659846,0.0023454454652447,0.018879303454622298,-0.04574267703095042,8.83125,2.45,50.5,84.375,13.33,0.0,9.0,3.0,51.87,4.67,0.8660254037844386,0.5000000000000001
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-03-06,2019,4,-0.24838480390948664,0,16.0,0.2905601598141989,0.1435574822252489,0.1371746957055841,-0.0320604078162516,-0.023471534211576495,0.0019024537023354937,12.175,4.1625,20.5,82.1875,18.62,0.0,10.0,0.0,51.87,4.67,1.0,6.123233995736766e-17
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-03-22,2019,5,-0.6940273383834389,0,16.0,0.2230898836596676,0.1555818867137729,0.1230070011611196,-0.0125294229059419,-0.06747027615453133,0.012024404488524015,10.4,5.03125,90.6,79.1875,21.99,0.0,2.0,1.0,51.87,4.67,1.0,6.123233995736766e-17
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-04-07,2019,6,-0.801058158563001,0,16.0,0.2917142987408488,0.1779378890340492,0.1534501352820347,0.008120144147832,0.06862441508118122,0.02235600232027629,12.33125,3.74375,9.8,80.875,27.15,0.0,13.0,0.0,51.87,4.67,0.8660254037844387,-0.4999999999999998
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-04-23,2019,7,0.9431743743109647,0,16.0,0.3133493533009416,0.2014316795616592,0.1739368277484431,0.0212360451444764,0.021635054560092792,0.023493790527609998,15.95625,5.4437500000000005,1.6,66.625,49.91,0.0,16.0,2.0,51.87,4.67,0.8660254037844387,-0.4999999999999998
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-05-09,2019,8,-0.7061756278244861,0,16.0,0.3767540562953082,0.4831467323254388,0.2712866814320028,0.1662929452558554,0.06340470299436662,0.2817150527637796,13.975000000000001,6.75,33.7,74.8125,38.35,0.0,6.0,0.0,51.87,4.67,0.49999999999999994,-0.8660254037844387
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-05-25,2019,9,-1.5726121579715762,1,16.0,0.3445999320829689,0.2331372900464714,0.2055855767674836,0.0434177481482551,-0.03215412421233932,-0.2500094422789674,16.15,7.7375,7.6,72.9375,50.49,0.0,13.0,0.0,51.87,4.67,0.49999999999999994,-0.8660254037844387
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-06-10,2019,10,-1.83275329406168,1,16.0,0.3074390316515418,0.2113997622171373,0.1847322153454374,0.0457521939992014,-0.03716090043142711,-0.021737527829334108,19.8625,11.05,62.3,73.5625,56.16,0.0,7.0,0.0,51.87,4.67,1.2246467991473532e-16,-1.0
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-06-26,2019,11,-1.5630445161185647,1,16.0,0.3064332551267145,0.2181880823524914,0.1849920301612248,0.0299016035545305,-0.0010057765248273065,0.006788320135354103,22.18125,13.5,79.2,77.5625,59.84,0.0,10.0,0.0,51.87,4.67,1.2246467991473532e-16,-1.0
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-07-12,2019,12,-1.58916778929813,1,16.0,0.3266317663448195,0.2463858631632506,0.2042016325870337,0.0782303318319054,0.02019851121810501,0.028197780810759188,21.5375,13.00625,8.0,71.75,66.53,0.0,13.0,0.0,51.87,4.67,-0.4999999999999997,-0.8660254037844388
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-07-28,2019,13,-1.3692458730815416,1,16.0,0.3249481974735943,0.2177167082066915,0.1943673640306874,0.0249816087995591,-0.0016835688712251717,-0.028669154956559084,24.75,15.7125,26.3,72.6875,64.84,2.0,11.0,0.0,51.87,4.67,-0.4999999999999997,-0.8660254037844388
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-08-13,2019,14,0.5722609924063662,0,16.0,0.3185022015315268,0.2173851825587833,0.1865036037049107,0.0356753615539023,-0.006445995942067517,-0.0003315256479081985,22.6875,15.9125,37.2,73.0,58.57,0.0,10.0,0.0,51.87,4.67,-0.8660254037844385,-0.5000000000000004
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-08-29,2019,15,-2.218469603036901,1,16.0,0.3617364327422952,0.2384327326727762,0.2108207332153016,0.0586277959854348,0.043234231210768415,0.021047550113992897,23.24375,14.25,42.3,73.9375,53.13,0.0,8.0,0.0,51.87,4.67,-0.8660254037844385,-0.5000000000000004
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-09-14,2019,16,-1.0306012698566176,1,16.0,0.3091738115840203,0.2622991684191432,0.2033513457869034,0.0511059565398951,-0.052562621158274925,0.023866435746366987,19.59375,12.0625,24.5,75.5625,40.71,0.0,11.0,0.0,51.87,4.67,-1.0,-1.8369701987210297e-16
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-09-30,2019,17,-9.016273167119703,1,16.0,0.3488180041158542,0.2148346051103061,0.1949685364854979,0.0459827342242604,0.03964419253183388,-0.04746456330883708,18.76875,11.84375,53.2,77.25,33.03,0.0,8.0,0.0,51.87,4.67,-1.0,-1.8369701987210297e-16
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-10-16,2019,18,0.1926672517482782,0,16.0,0.2757475078105926,0.6790292693629125,0.1734788725080892,0.2576419115066528,-0.07307049630526158,0.4641946642526064,15.4375,10.6,92.89999999999999,85.1875,18.85,0.0,1.0,0.0,51.87,4.67,-0.8660254037844386,0.5000000000000001
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-11-01,2019,19,29.21240706946363,0,16.0,0.3584281863651301,0.2308316178649768,0.1972324894520558,0.1172919324286571,0.08268067855453748,-0.4481976514979357,14.09375,8.79375,31.8,84.125,18.240000000000002,0.0,7.0,0.0,51.87,4.67,-0.5000000000000004,0.8660254037844384
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-11-17,2019,20,0.6715152807924413,0,16.0,0.4556464996175527,0.2240354958566539,0.2203078698371355,0.1714095759475614,0.09721831325242264,-0.0067961220083229135,9.59375,4.44375,44.3,88.625,9.2,0.0,4.0,1.0,51.87,4.67,-0.5000000000000004,0.8660254037844384
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-12-03,2019,21,0.46347669244533296,0,16.0,0.3557202211333754,0.1692357322067137,0.1633915097145858,0.0448247108049836,-0.09992627848417729,-0.054799763649940186,8.25,3.125,38.2,89.5625,6.92,0.0,11.0,3.0,51.87,4.67,-2.4492935982947064e-16,1.0
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2019-12-19,2019,22,0.3807608283419127,0,16.0,0.3193980465654447,0.1464923625576125,0.1516970104308917,-0.091798525010784,-0.03632217456793074,-0.022743369649101203,8.1875,3.94375,49.9,87.0,9.37,0.0,5.0,2.0,51.87,4.67,-2.4492935982947064e-16,1.0
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2020-01-04,2020,0,-0.9322327669026134,0,16.0,0.2730558157620393,0.1356679571318545,0.0999183313990725,-0.2719516630393372,-0.04634223080340538,-0.010824405425757994,8.346153846153847,3.9615384615384617,24.1,86.61538461538461,7.18,0.0,6.0,1.0,51.87,4.67,0.49999999999999994,0.8660254037844387
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2020-01-20,2020,1,-2.182904671266061,1,16.0,0.1693197321900546,0.1341990376922005,0.0718870666923564,0.2040813285789788,-0.10373608357198469,-0.0014689194396539929,9.075,4.86875,33.0,88.0,8.76,0.0,8.0,1.0,51.87,4.67,0.49999999999999994,0.8660254037844387
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2020-02-05,2020,2,-2.062401281594026,1,16.0,0.2715276168642859,0.1449876588967388,0.1304715245858836,0.0084317392565027,0.10220788467423128,0.010788621204538301,7.65,3.225,19.0,88.0,8.92,0.0,13.0,3.0,51.87,4.67,0.8660254037844386,0.5000000000000001
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2020-02-21,2020,3,1.371431775014406,0,16.0,0.2735884086025796,0.4279799356191344,0.1493140072379589,0.0309056525718472,0.00206079173829371,0.2829922767223956,9.65,4.85625,58.199999999999996,79.125,18.64,0.0,7.0,0.0,51.87,4.67,0.8660254037844386,0.5000000000000001
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2020-03-08,2020,4,1.521668584218155,0,16.0,0.3492459146337236,0.2263325460336394,0.1884629728287449,0.0452646109963881,0.07565750603114402,-0.201647389585495,9.01875,4.0,73.2,80.5,17.53,0.0,3.0,0.0,51.87,4.67,1.0,6.123233995736766e-17
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2020-03-24,2020,5,0.6852463439524361,0,16.0,0.3609582286989118,0.195808833641843,0.1817127919051465,0.0249115062178439,0.01171231406518819,-0.03052371239179638,10.59375,4.99375,54.5,81.4375,20.59,0.0,7.0,0.0,51.87,4.67,1.0,6.123233995736766e-17
Alblasserdam,Netherlands,Zuid-Holland,temperate_dairy_pasture,2020-04-09,2020,6,0.31426146428390306,0,16.0,0.3230674998330249,0.1823352811432633,0.1672425607033513,-0.0013906110772915,-0.0378907288658869,-0.013473552498579705,10.60625,0.90625,1.2,62.5625,39.56,0.0,16.0,4.0,51.87,4.67,0.8660254037844387,-0.4999999999999998
